Row,Var1
826,b2678
827,b2679
828,b2682
829,b2683
830,b2687
831,b2688
832,b2690
833,b2697
834,b2701
835,b2702
836,b2703
837,b2704
838,b2705
839,b2708
840,b2710
841,b2711
842,b2715
843,b2719
844,b2720
845,b2721
846,b2722
847,b2723
848,b2724
849,b2738
850,b2744
851,b2746
852,b2747
853,b2750
854,b2751
855,b2752
856,b2762
857,b2763
858,b2764
859,b2765
861,b2780
862,b2781
863,b2784
864,b2787
865,b2788
866,b2789
867,b2794
868,b2796
869,b2797
870,b2799
871,b2800
872,b2801
873,b2802
874,b2803
875,b2810
876,b2813
877,b2817
878,b2818
879,b2827
880,b2835
881,b2836
882,b2838
883,b2841
884,b2866
885,b2867
886,b2868
887,b2871
888,b2874
889,b2877
890,b2882
891,b2883
892,b2889
893,b2890
894,b2893
895,b2895
896,b2901
897,b2903
898,b2904
899,b2905
900,b2907
901,b2912
902,b2913
903,b2914
904,b2917
905,b2919
906,b2920
907,b2923
908,b2925
910,b2927
911,b2930
912,b2935
913,b2937
914,b2938
915,b2942
916,b2943
917,b2947
918,b2954
919,b2957
920,b2963
921,b2964
922,b2965
923,b2975
924,b2976
925,b2979
926,b2987
927,b2988
928,b2994
929,b2995
930,b2996
931,b2997
932,b3001
933,b3005
934,b3006
935,b3008
936,b3012
937,b3018
938,b3028
939,b3029
940,b3034
941,b3035
942,b3040
943,b3041
944,b3052
945,b3057
946,b3058
947,b3059
948,b3061
949,b3062
950,b3063
951,b3073
952,b3089
953,b3091
954,b3092
955,b3093
956,b3114
957,b3115
958,b3116
959,b3117
960,b3124
961,b3125
962,b3126
963,b3127
964,b3128
965,b3132
966,b3137
967,b3161
968,b3172
969,b3176
970,b3177
971,b3182
972,b3187
973,b3189
974,b3196
975,b3197
976,b3198
977,b3199
978,b3200
979,b3201
980,b3212
981,b3213
982,b3222
983,b3223
984,b3224
985,b3225
986,b3236
987,b3255
988,b3256
989,b3258
990,b3265
991,b3266
992,b3281
993,b3288
994,b3290
995,b3350
996,b3359
997,b3360
998,b3365
999,b3366
1000,b3367
1001,b3368
1002,b3370
1003,b3371
1004,b3374
1005,b3380
1006,b3384
1007,b3385
1008,b3386
1009,b3389
1010,b3390
1011,b3396
1012,b3397
1013,b3403
1014,b3409
1015,b3412
1016,b3415
1017,b3416
1018,b3417
1019,b3425
1020,b3426
1021,b3428
1022,b3429
1023,b3430
1024,b3431
1025,b3432
1026,b3433
1027,b3437
1028,b3447
1029,b3449
1030,b3450
1031,b3451
1032,b3452
1033,b3453
1034,b3454
1035,b3455
1036,b3456
1037,b3457
1038,b3458
1039,b3460
1040,b3469
1041,b3475
1042,b3476
1043,b3477
1044,b3478
1045,b3479
1046,b3480
1047,b3493
1048,b3496
1049,b3500
1050,b3502
1051,b3503
1052,b3517
1053,b3519
1054,b3526
1055,b3528
1056,b3540
1057,b3541
1058,b3542
1059,b3543
1060,b3544
1061,b3546
1062,b3551
1063,b3553
1064,b3559
1065,b3560
1066,b3564
1067,b3565
1068,b3566
1069,b3567
1070,b3568
1071,b3571
1072,b3572
1073,b3575
1074,b3577
1075,b3578
1076,b3579
1077,b3580
1078,b3581
1079,b3583
1080,b3588
1081,b3591
1082,b3599
1083,b3600
1084,b3603
1085,b3605
1086,b3607
1087,b3608
1088,b3610
1089,b3612
1090,b3616
1091,b3617
1092,b3619
1093,b3620
1094,b3621
1095,b3622
1096,b3623
1097,b3624
1098,b3625
1099,b3626
1100,b3627
1101,b3628
1102,b3629
1103,b3630
1104,b3631
1105,b3632
1106,b3633
1107,b3634
1108,b3639
1109,b3640
1110,b3642
1111,b3648
1112,b3650
1113,b3653
1114,b3654
1115,b3665
1116,b3666
1117,b3670
1118,b3671
1119,b3679
1120,b3691
1121,b3693
1122,b3708
1123,b3709
1124,b3714
1125,b3722
1126,b3725
1127,b3726
1128,b3727
1129,b3728
1130,b3729
1131,b3730
1132,b3731
1133,b3732
1134,b3733
1135,b3734
1136,b3735
1137,b3736
1138,b3737
1139,b3738
1140,b3739
1141,b3744
1142,b3747
1143,b3748
1144,b3749
1145,b3750
1146,b3751
1147,b3752
1148,b3770
1149,b3771
1150,b3772
1151,b3774
1152,b3779
1153,b3781
1154,b3784
1155,b3785
1156,b3786
1157,b3787
1158,b3788
1159,b3789
1160,b3790
1161,b3791
1162,b3792
1163,b3793
1164,b3794
1165,b3803
1166,b3804
1167,b3805
1168,b3806
1169,b3807
1170,b3809
1171,b3816
1172,b3821
1173,b3823
1174,b3824
1175,b3825
1176,b3826
1177,b3829
1178,b3831
1179,b3833
1180,b3835
1181,b3843
1182,b3844
1183,b3845
1184,b3846
1185,b3849
1186,b3850
1187,b3856
1188,b3857
1189,b3860
1190,b3867
1191,b3870
1192,b3875
1193,b3882
1194,b3892
1195,b3893
1196,b3894
1197,b3902
1198,b3903
1199,b3904
1200,b3907
1201,b3908
1202,b3909
1203,b3915
1204,b3916
1205,b3917
1206,b3918
1207,b3919
1208,b3924
1209,b3925
1210,b3926
1211,b3927
1212,b3930
1213,b3939
1214,b3940
1215,b3941
1216,b3942
1217,b3945
1218,b3946
1219,b3951
1220,b3952
1221,b3956
1222,b3957
1223,b3958
1224,b3959
1225,b3960
1226,b3962
1227,b3966
1228,b3967
1229,b3972
1230,b3974
1231,b3990
1232,b3991
1233,b3992
1234,b3993
1235,b3994
1236,b3996
1237,b3997
1238,b4005
1239,b4006
1240,b4013
1241,b4014
1242,b4015
1243,b4019
1244,b4024
1245,b4025
1246,b4031
1247,b4032
1248,b4033
1249,b4034
1250,b4035
1251,b4036
1252,b4039
1253,b4040
1254,b4041
1255,b4042
1256,b4053
1257,b4054
1258,b4055
1259,b4067
1260,b4069
1261,b4070
1262,b4071
1263,b4072
1264,b4073
1265,b4077
1266,b4079
1267,b4084
1268,b4085
1269,b4086
1270,b4087
1271,b4088
1272,b4090
1273,b4094
1274,b4111
1275,b4115
1276,b4117
1277,b4119
1278,b4120
1279,b4122
1280,b4123
1281,b4129
1282,b4130
1283,b4131
1284,b4132
1285,b4136
1286,b4138
1287,b4139
1288,b4151
1289,b4152
1290,b4153
1291,b4154
1292,b4160
1293,b4161
1294,b4169
1295,b4177
1296,b4192
1297,b4193
1298,b4194
1299,b4195
1300,b4196
1301,b4197
1302,b4198
1303,b4208
1304,b4209
1305,b4213
1306,b4214
1307,b4219
1308,b4226
1309,b4227
1310,b4230
1311,b4231
1312,b4232
1313,b4233
1314,b4237
1315,b4238
1316,b4239
1317,b4240
1318,b4242
1319,b4244
1320,b4245
1321,b4254
1322,b4258
1323,b4260
1324,b4261
1325,b4262
1326,b4265
1327,b4266
1328,b4267
1329,b4268
1330,b4287
1331,b4288
1332,b4289
1333,b4290
1334,b4291
1335,b4301
1336,b4311
1337,b4321
1338,b4322
1339,b4323
1340,b4356
1341,b4358
1342,b4367
1343,b4374
1344,b4381
1345,b4382
1346,b4383
1347,b4384
1348,b4386
1349,b4388
1350,b4390
1351,b4392
1352,b4394
1353,b4395
1354,b4407
1355,b4460
1356,b4467
1357,b4468
1358,b4471
1359,b4474
1360,b4476
1361,b4477
1362,b4478
1363,b4481
1364,b4485
1365,b4513
1366,b4544
1367,s0001
